domain,condition,conversation_id,step_index,delta,direction,directional_gain
photoshop,anchored,photoshop_anchored_008,3,0.27563409774214875,-1.0,-0.27563409774214875
photoshop,anchored,photoshop_anchored_008,4,-0.24159998800041382,1.0,-0.24159998800041382
photoshop,anchored,photoshop_anchored_008,5,0.24159998800041382,-1.0,-0.24159998800041382
photoshop,anchored,photoshop_anchored_008,6,-0.0147395216926407,1.0,-0.0147395216926407
photoshop,anchored,photoshop_anchored_009,1,-1.6806520936853893,-1.0,1.6806520936853893
photoshop,anchored,photoshop_anchored_009,2,-0.20695701888776896,1.0,-0.20695701888776896
photoshop,anchored,photoshop_anchored_009,3,0.36449699365358557,-1.0,-0.36449699365358557
photoshop,anchored,photoshop_anchored_009,4,-0.057079156286858,1.0,-0.057079156286858
photoshop,anchored,photoshop_anchored_009,5,0.29739147866942517,-1.0,-0.29739147866942517
photoshop,anchored,photoshop_anchored_009,6,-0.3447972816053331,1.0,-0.3447972816053331
photoshop,anchored,photoshop_anchored_010,1,1.208321428704894,-1.0,-1.208321428704894
photoshop,anchored,photoshop_anchored_010,2,0.06082995329636526,1.0,0.06082995329636526
photoshop,anchored,photoshop_anchored_010,3,0.37404183331158597,-1.0,-0.37404183331158597
photoshop,anchored,photoshop_anchored_010,4,-0.13798543855670398,1.0,-0.13798543855670398
photoshop,anchored,photoshop_anchored_010,5,-0.0852456604082541,-1.0,0.0852456604082541
photoshop,anchored,photoshop_anchored_010,6,-0.05225085701243892,1.0,-0.05225085701243892
photoshop,anchored,photoshop_anchored_011,1,0.7127560043795242,-1.0,-0.7127560043795242
photoshop,anchored,photoshop_anchored_011,2,-0.2944474704019264,1.0,-0.2944474704019264
photoshop,anchored,photoshop_anchored_011,3,0.3349309208286151,-1.0,-0.3349309208286151
photoshop,anchored,photoshop_anchored_011,4,-0.1431889338647796,1.0,-0.1431889338647796
photoshop,anchored,photoshop_anchored_011,5,0.1431889338647796,-1.0,-0.1431889338647796
photoshop,anchored,photoshop_anchored_011,6,0.1738746989911233,1.0,0.1738746989911233
photoshop,anchored,photoshop_anchored_012,1,1.1204392730602546,-1.0,-1.1204392730602546
photoshop,anchored,photoshop_anchored_012,2,-0.24143682523350463,1.0,-0.24143682523350463
photoshop,anchored,photoshop_anchored_012,3,0.6824345975430803,-1.0,-0.6824345975430803
photoshop,anchored,photoshop_anchored_012,4,0.06143897304109025,1.0,0.06143897304109025
photoshop,anchored,photoshop_anchored_012,5,-0.10751169667689231,-1.0,0.10751169667689231
photoshop,anchored,photoshop_anchored_012,6,0.10171759975517825,1.0,0.10171759975517825
photoshop,anchored,photoshop_anchored_013,1,-2.452975547125695,-1.0,2.452975547125695
photoshop,anchored,photoshop_anchored_013,2,-0.9714956178856626,1.0,-0.9714956178856626
photoshop,anchored,photoshop_anchored_013,3,0.4048541046410987,-1.0,-0.4048541046410987
photoshop,anchored,photoshop_anchored_013,4,-0.6093160398062345,1.0,-0.6093160398062345
photoshop,anchored,photoshop_anchored_013,5,0.18561076176207347,-1.0,-0.18561076176207347
photoshop,anchored,photoshop_anchored_013,6,-0.0075748161702948735,1.0,-0.0075748161702948735
photoshop,anchored,photoshop_anchored_014,1,0.15777426691470647,-1.0,-0.15777426691470647
photoshop,anchored,photoshop_anchored_014,2,-0.15007520446229666,1.0,-0.15007520446229666
photoshop,anchored,photoshop_anchored_014,3,1.35429663693805,-1.0,-1.35429663693805
photoshop,anchored,photoshop_anchored_014,4,-0.20103780229143475,1.0,-0.20103780229143475
photoshop,anchored,photoshop_anchored_014,5,-0.024196821158296244,-1.0,0.024196821158296244
photoshop,anchored,photoshop_anchored_014,6,0.23214881728968717,1.0,0.23214881728968717
photoshop,anchored,photoshop_anchored_015,1,0.3910969039795764,-1.0,-0.3910969039795764
photoshop,anchored,photoshop_anchored_015,2,-0.4737244430838422,1.0,-0.4737244430838422
photoshop,anchored,photoshop_anchored_015,3,0.40088673334801145,-1.0,-0.40088673334801145
photoshop,anchored,photoshop_anchored_015,4,0.5026075382242856,1.0,0.5026075382242856
photoshop,anchored,photoshop_anchored_015,5,0.2862125449579036,-1.0,-0.2862125449579036
photoshop,anchored,photoshop_anchored_015,6,-0.27495665795926694,1.0,-0.27495665795926694
photoshop,anchored,photoshop_anchored_016,1,0.40176862966727134,-1.0,-0.40176862966727134
photoshop,anchored,photoshop_anchored_016,2,-0.3585910458511128,1.0,-0.3585910458511128
photoshop,anchored,photoshop_anchored_016,3,0.4053824964812167,-1.0,-0.4053824964812167
photoshop,anchored,photoshop_anchored_016,4,-0.15446827637911498,1.0,-0.15446827637911498
photoshop,anchored,photoshop_anchored_016,5,0.15934571504751904,-1.0,-0.15934571504751904
photoshop,anchored,photoshop_anchored_016,6,-0.10375649082699878,1.0,-0.10375649082699878
photoshop,anchored,photoshop_anchored_017,1,0.8728017722387067,-1.0,-0.8728017722387067
photoshop,anchored,photoshop_anchored_017,2,0.5262351380154415,1.0,0.5262351380154415
photoshop,anchored,photoshop_anchored_017,3,-0.0753445668001822,-1.0,0.0753445668001822
photoshop,anchored,photoshop_anchored_017,4,-0.008618956978758696,1.0,-0.008618956978758696
photoshop,anchored,photoshop_anchored_017,5,0.3856726208978012,-1.0,-0.3856726208978012
photoshop,anchored,photoshop_anchored_017,6,-0.3511334414356071,1.0,-0.3511334414356071
photoshop,anchored,photoshop_anchored_018,1,-2.9468355930686903,-1.0,2.9468355930686903
photoshop,anchored,photoshop_anchored_018,2,-0.019222861920598078,1.0,-0.019222861920598078
photoshop,anchored,photoshop_anchored_018,3,0.1983840508392225,-1.0,-0.1983840508392225
photoshop,anchored,photoshop_anchored_018,4,-0.1983840508392225,1.0,-0.1983840508392225
photoshop,anchored,photoshop_anchored_018,5,0.3754915382480859,-1.0,-0.3754915382480859
photoshop,anchored,photoshop_anchored_018,6,0.0849488759277901,1.0,0.0849488759277901
photoshop,anchored,photoshop_anchored_019,1,0.743820468279841,-1.0,-0.743820468279841
photoshop,anchored,photoshop_anchored_019,2,-0.012613863271785153,1.0,-0.012613863271785153
photoshop,anchored,photoshop_anchored_019,3,-0.1913848997920078,-1.0,0.1913848997920078
photoshop,anchored,photoshop_anchored_019,4,0.800401169855169,1.0,0.800401169855169
photoshop,anchored,photoshop_anchored_019,5,0.3175823801703217,-1.0,-0.3175823801703217
photoshop,anchored,photoshop_anchored_019,6,-0.03158160751816075,1.0,-0.03158160751816075
photoshop,anchored,photoshop_anchored_020,1,-1.2476695976075234,-1.0,1.2476695976075234
photoshop,anchored,photoshop_anchored_020,2,-0.5233327935698695,1.0,-0.5233327935698695
photoshop,anchored,photoshop_anchored_020,3,-0.24648112139705858,-1.0,0.24648112139705858
photoshop,anchored,photoshop_anchored_020,4,0.27137521191718483,1.0,0.27137521191718483
photoshop,anchored,photoshop_anchored_020,5,-0.09226590514198252,-1.0,0.09226590514198252
photoshop,anchored,photoshop_anchored_020,6,0.6983832819640885,1.0,0.6983832819640885
photoshop,anchored,photoshop_anchored_021,1,-1.3910019296842118,-1.0,1.3910019296842118
photoshop,anchored,photoshop_anchored_021,2,0.1878152810930347,1.0,0.1878152810930347
photoshop,anchored,photoshop_anchored_021,3,0.1268371317259105,-1.0,-0.1268371317259105
photoshop,anchored,photoshop_anchored_021,4,-0.12672995843773993,1.0,-0.12672995843773993
photoshop,anchored,photoshop_anchored_021,5,0.17168323997595314,-1.0,-0.17168323997595314
photoshop,anchored,photoshop_anchored_021,6,0.06860456942407112,1.0,0.06860456942407112
photoshop,anchored,photoshop_anchored_022,1,-0.4264091716390723,-1.0,0.4264091716390723
photoshop,anchored,photoshop_anchored_022,2,-0.09839137146673238,1.0,-0.09839137146673238
photoshop,anchored,photoshop_anchored_022,3,0.324011826110465,-1.0,-0.324011826110465
photoshop,anchored,photoshop_anchored_022,4,-0.019549344461199603,1.0,-0.019549344461199603
photoshop,anchored,photoshop_anchored_022,5,0.3223802068301831,-1.0,-0.3223802068301831
photoshop,anchored,photoshop_anchored_022,6,-0.43043941364586935,1.0,-0.43043941364586935
photoshop,anchored,photoshop_anchored_023,1,-0.9483648684068016,-1.0,0.9483648684068016
photoshop,anchored,photoshop_anchored_023,2,0.9660091014316072,1.0,0.9660091014316072
photoshop,anchored,photoshop_anchored_023,3,-0.48583363821426473,-1.0,0.48583363821426473
photoshop,anchored,photoshop_anchored_023,4,1.4129271609935081,1.0,1.4129271609935081
photoshop,anchored,photoshop_anchored_023,5,-0.3329033529811922,-1.0,0.3329033529811922
photoshop,anchored,photoshop_anchored_023,6,0.4248443691145487,1.0,0.4248443691145487
photoshop,anchored,photoshop_anchored_024,1,-0.14315330574507623,-1.0,0.14315330574507623
photoshop,anchored,photoshop_anchored_024,2,0.17334960062224947,1.0,0.17334960062224947
photoshop,anchored,photoshop_anchored_024,3,0.4795670211409393,-1.0,-0.4795670211409393
photoshop,anchored,photoshop_anchored_024,4,-0.043116997944554036,1.0,-0.043116997944554036
photoshop,anchored,photoshop_anchored_024,5,0.043116997944554036,-1.0,-0.043116997944554036
photoshop,anchored,photoshop_anchored_024,6,-0.001803399774114478,1.0,-0.001803399774114478
photoshop,anchored,photoshop_anchored_025,1,0.2221021716284035,-1.0,-0.2221021716284035
photoshop,anchored,photoshop_anchored_025,2,-2.4553880946299396,1.0,-2.4553880946299396
photoshop,anchored,photoshop_anchored_025,3,0.12258517937734048,-1.0,-0.12258517937734048
photoshop,anchored,photoshop_anchored_025,4,-0.1308450545279669,1.0,-0.1308450545279669
photoshop,anchored,photoshop_anchored_025,5,0.22004086395867617,-1.0,-0.22004086395867617
photoshop,anchored,photoshop_anchored_025,6,0.07659376485714198,1.0,0.07659376485714198
photoshop,anchored,photoshop_anchored_026,1,-0.33073123943163496,-1.0,0.33073123943163496
photoshop,anchored,photoshop_anchored_026,2,-0.07507421499969169,1.0,-0.07507421499969169
photoshop,anchored,photoshop_anchored_026,3,0.3216147599981874,-1.0,-0.3216147599981874
photoshop,anchored,photoshop_anchored_026,4,0.01449489372804924,1.0,0.01449489372804924
photoshop,anchored,photoshop_anchored_026,5,-0.3064905522586529,-1.0,0.3064905522586529
photoshop,anchored,photoshop_anchored_026,6,0.35170164209567306,1.0,0.35170164209567306
photoshop,anchored,photoshop_anchored_027,1,-2.62559821066521,-1.0,2.62559821066521
photoshop,anchored,photoshop_anchored_027,2,-0.21696208708056486,1.0,-0.21696208708056486
photoshop,anchored,photoshop_anchored_027,3,0.5302252202764343,-1.0,-0.5302252202764343
photoshop,anchored,photoshop_anchored_027,4,-0.07124275840211458,1.0,-0.07124275840211458
photoshop,anchored,photoshop_anchored_027,5,0.34771174082920814,-1.0,-0.34771174082920814
photoshop,anchored,photoshop_anchored_027,6,-0.36244990150785955,1.0,-0.36244990150785955
photoshop,anchored,photoshop_anchored_028,1,-0.12258804137830115,-1.0,0.12258804137830115
photoshop,anchored,photoshop_anchored_028,2,-1.7077149644044534,1.0,-1.7077149644044534
photoshop,anchored,photoshop_anchored_028,3,0.19941104572867907,-1.0,-0.19941104572867907
photoshop,anchored,photoshop_anchored_028,4,-0.12616028088923237,1.0,-0.12616028088923237
photoshop,anchored,photoshop_anchored_028,5,0.4140955899938765,-1.0,-0.4140955899938765
photoshop,anchored,photoshop_anchored_028,6,-0.014835388741527566,1.0,-0.014835388741527566
photoshop,anchored,photoshop_anchored_029,1,-2.9444077640528024,-1.0,2.9444077640528024
photoshop,anchored,photoshop_anchored_029,2,-0.163033578315261,1.0,-0.163033578315261
photoshop,anchored,photoshop_anchored_029,3,0.12234359746194201,-1.0,-0.12234359746194201
photoshop,anchored,photoshop_anchored_029,4,-0.20900889527169042,1.0,-0.20900889527169042
photoshop,anchored,photoshop_anchored_029,5,0.10281717057034001,-1.0,-0.10281717057034001
photoshop,anchored,photoshop_anchored_029,6,-0.005353363653343379,1.0,-0.005353363653343379
photoshop,anchored,photoshop_anchored_030,1,1.0158427513059374,-1.0,-1.0158427513059374
photoshop,anchored,photoshop_anchored_030,2,-0.32908993621057947,1.0,-0.32908993621057947
photoshop,anchored,photoshop_anchored_030,3,0.22438606975277975,-1.0,-0.22438606975277975
photoshop,anchored,photoshop_anchored_030,4,1.6994710539089686,1.0,1.6994710539089686
photoshop,anchored,photoshop_anchored_030,5,0.3469898518953831,-1.0,-0.3469898518953831
photoshop,anchored,photoshop_anchored_030,6,0.030566802764975032,1.0,0.030566802764975032
photoshop,anchored,photoshop_anchored_031,1,-0.18342858036511434,-1.0,0.18342858036511434
photoshop,anchored,photoshop_anchored_031,2,0.13480086664564306,1.0,0.13480086664564306
photoshop,anchored,photoshop_anchored_031,3,0.7180536633345245,-1.0,-0.7180536633345245
photoshop,anchored,photoshop_anchored_031,4,-0.2684174667725947,1.0,-0.2684174667725947
photoshop,anchored,photoshop_anchored_031,5,0.0,-1.0,-0.0
photoshop,anchored,photoshop_anchored_031,6,0.19269551824751963,1.0,0.19269551824751963
photoshop,anchored,photoshop_anchored_032,1,1.0201066160568528,-1.0,-1.0201066160568528
photoshop,anchored,photoshop_anchored_032,2,-4.637534503958524,1.0,-4.637534503958524
photoshop,anchored,photoshop_anchored_032,3,0.5354589101689413,-1.0,-0.5354589101689413
photoshop,anchored,photoshop_anchored_032,4,0.7633094075708975,1.0,0.7633094075708975
photoshop,anchored,photoshop_anchored_032,5,-0.3100280561908857,-1.0,0.3100280561908857
photoshop,anchored,photoshop_anchored_032,6,-0.5561387373366005,1.0,-0.5561387373366005
photoshop,anchored,photoshop_anchored_033,1,0.7142747385429692,-1.0,-0.7142747385429692
photoshop,anchored,photoshop_anchored_033,2,-0.2884209353741678,1.0,-0.2884209353741678
photoshop,anchored,photoshop_anchored_033,3,-0.3575500128972333,-1.0,0.3575500128972333
photoshop,anchored,photoshop_anchored_033,4,-0.11920163255394955,1.0,-0.11920163255394955
photoshop,anchored,photoshop_anchored_033,5,-0.10039904224846252,-1.0,0.10039904224846252
photoshop,anchored,photoshop_anchored_033,6,0.2829744532498808,1.0,0.2829744532498808
photoshop,anchored,photoshop_anchored_034,1,0.39780624200947917,-1.0,-0.39780624200947917
photoshop,anchored,photoshop_anchored_034,2,-2.967510522977875,1.0,-2.967510522977875
photoshop,anchored,photoshop_anchored_034,3,-0.22163015335119773,-1.0,0.22163015335119773
photoshop,anchored,photoshop_anchored_034,4,0.30299921909613214,1.0,0.30299921909613214
photoshop,anchored,photoshop_anchored_034,5,0.12681056047550565,-1.0,-0.12681056047550565
photoshop,anchored,photoshop_anchored_034,6,-0.04654969829568212,1.0,-0.04654969829568212
photoshop,anchored,photoshop_anchored_035,1,1.2788976981120672,-1.0,-1.2788976981120672
photoshop,anchored,photoshop_anchored_035,2,-1.0044279857169123,1.0,-1.0044279857169123
photoshop,anchored,photoshop_anchored_035,3,0.22589776683357266,-1.0,-0.22589776683357266
photoshop,anchored,photoshop_anchored_035,4,-0.13987747867561295,1.0,-0.13987747867561295
photoshop,anchored,photoshop_anchored_035,5,0.1142486068597095,-1.0,-0.1142486068597095
photoshop,anchored,photoshop_anchored_035,6,0.20981980975600156,1.0,0.20981980975600156
photoshop,anchored,photoshop_anchored_036,1,-2.050692801102406,-1.0,2.050692801102406
photoshop,anchored,photoshop_anchored_036,2,0.8066521379158207,1.0,0.8066521379158207
photoshop,anchored,photoshop_anchored_036,3,-0.09884158751405447,-1.0,0.09884158751405447
photoshop,anchored,photoshop_anchored_036,4,0.24110168525447317,1.0,0.24110168525447317
photoshop,anchored,photoshop_anchored_036,5,0.10873749206121452,-1.0,-0.10873749206121452
photoshop,anchored,photoshop_anchored_036,6,-0.056071888100274414,1.0,-0.056071888100274414
photoshop,anchored,photoshop_anchored_037,1,-0.356403741355952,-1.0,0.356403741355952
photoshop,anchored,photoshop_anchored_037,2,0.3349161092269597,1.0,0.3349161092269597
photoshop,anchored,photoshop_anchored_037,3,-0.1908485451632198,-1.0,0.1908485451632198
photoshop,anchored,photoshop_anchored_037,4,-0.09609418530640923,1.0,-0.09609418530640923
photoshop,anchored,photoshop_anchored_037,5,0.10068464911203012,-1.0,-0.10068464911203012
photoshop,anchored,photoshop_anchored_037,6,0.1090265301917892,1.0,0.1090265301917892
photoshop,anchored,photoshop_anchored_038,1,2.019228119296187,-1.0,-2.019228119296187
photoshop,anchored,photoshop_anchored_038,2,-0.6691046302030447,1.0,-0.6691046302030447
photoshop,anchored,photoshop_anchored_038,3,0.21136454256340487,-1.0,-0.21136454256340487
photoshop,anchored,photoshop_anchored_038,4,0.5403882334118626,1.0,0.5403882334118626
photoshop,anchored,photoshop_anchored_038,5,0.14098610282871937,-1.0,-0.14098610282871937
photoshop,anchored,photoshop_anchored_038,6,0.1755353017313912,1.0,0.1755353017313912
photoshop,anchored,photoshop_anchored_039,1,0.8233750942187874,-1.0,-0.8233750942187874
photoshop,anchored,photoshop_anchored_039,2,-1.4686474096173998,1.0,-1.4686474096173998
photoshop,anchored,photoshop_anchored_039,3,-0.037340208768152805,-1.0,0.037340208768152805
photoshop,anchored,photoshop_anchored_039,4,0.7326437775068727,1.0,0.7326437775068727
photoshop,anchored,photoshop_anchored_039,5,-0.15374115818715406,-1.0,0.15374115818715406
photoshop,anchored,photoshop_anchored_039,6,0.3538371599085184,1.0,0.3538371599085184
photoshop,consistent_basic,photoshop_consistent_basic_000,1,-6.603027207981059,-1.0,6.603027207981059
photoshop,consistent_basic,photoshop_consistent_basic_000,2,0.7432120311540804,-1.0,-0.7432120311540804
photoshop,consistent_basic,photoshop_consistent_basic_000,3,1.3452154198042439,-1.0,-1.3452154198042439
photoshop,consistent_basic,photoshop_consistent_basic_000,4,0.08422483351229726,-1.0,-0.08422483351229726
photoshop,consistent_basic,photoshop_consistent_basic_000,5,1.0794463913868064,-1.0,-1.0794463913868064
photoshop,consistent_basic,photoshop_consistent_basic_000,6,-0.029846441660792422,-1.0,0.029846441660792422
photoshop,consistent_basic,photoshop_consistent_basic_001,1,-1.0214358482367094,-1.0,1.0214358482367094
photoshop,consistent_basic,photoshop_consistent_basic_001,2,2.7024976672802925,-1.0,-2.7024976672802925
photoshop,consistent_basic,photoshop_consistent_basic_001,3,0.0,-1.0,-0.0
photoshop,consistent_basic,photoshop_consistent_basic_001,4,0.13025655016879956,-1.0,-0.13025655016879956
photoshop,consistent_basic,photoshop_consistent_basic_001,5,-0.6477361364358645,-1.0,0.6477361364358645
photoshop,consistent_basic,photoshop_consistent_basic_001,6,0.037595507110888216,-1.0,-0.037595507110888216
photoshop,consistent_basic,photoshop_consistent_basic_002,1,-3.3903847511502665,-1.0,3.3903847511502665
photoshop,consistent_basic,photoshop_consistent_basic_002,2,-0.0017036831955266063,-1.0,0.0017036831955266063
photoshop,consistent_basic,photoshop_consistent_basic_002,3,0.0815369857918038,-1.0,-0.0815369857918038
photoshop,consistent_basic,photoshop_consistent_basic_002,4,-0.049129010018668984,-1.0,0.049129010018668984
photoshop,consistent_basic,photoshop_consistent_basic_002,5,1.0381528516737453,-1.0,-1.0381528516737453
photoshop,consistent_basic,photoshop_consistent_basic_002,6,0.0,-1.0,-0.0
photoshop,consistent_basic,photoshop_consistent_basic_003,1,-4.459823070749977,-1.0,4.459823070749977
photoshop,consistent_basic,photoshop_consistent_basic_003,2,-0.07938823893239788,-1.0,0.07938823893239788
photoshop,consistent_basic,photoshop_consistent_basic_003,3,-0.9539151773577448,-1.0,0.9539151773577448
photoshop,consistent_basic,photoshop_consistent_basic_003,4,-0.23275735729641522,-1.0,0.23275735729641522
photoshop,consistent_basic,photoshop_consistent_basic_003,5,-0.2575141853643095,-1.0,0.2575141853643095
photoshop,consistent_basic,photoshop_consistent_basic_003,6,0.029555788989527487,-1.0,-0.029555788989527487
photoshop,consistent_basic,photoshop_consistent_basic_004,1,-5.444805815037215,-1.0,5.444805815037215
photoshop,consistent_basic,photoshop_consistent_basic_004,2,-0.5296726809182166,-1.0,0.5296726809182166
photoshop,consistent_basic,photoshop_consistent_basic_004,3,-0.04347512927958608,-1.0,0.04347512927958608
photoshop,consistent_basic,photoshop_consistent_basic_004,4,-0.013285583126875444,-1.0,0.013285583126875444
photoshop,consistent_basic,photoshop_consistent_basic_004,5,0.2586828421669365,-1.0,-0.2586828421669365
photoshop,consistent_basic,photoshop_consistent_basic_004,6,0.0,-1.0,-0.0
photoshop,consistent_basic,photoshop_consistent_basic_005,1,-0.3792094847387375,-1.0,0.3792094847387375
photoshop,consistent_basic,photoshop_consistent_basic_005,2,-0.3071198857453039,-1.0,0.3071198857453039
photoshop,consistent_basic,photoshop_consistent_basic_005,3,0.31194674915141807,-1.0,-0.31194674915141807
photoshop,consistent_basic,photoshop_consistent_basic_005,4,-0.08713722611956864,-1.0,0.08713722611956864
photoshop,consistent_basic,photoshop_consistent_basic_005,5,0.8731693547820574,-1.0,-0.8731693547820574
photoshop,consistent_basic,photoshop_consistent_basic_005,6,0.09214580627374458,-1.0,-0.09214580627374458
photoshop,consistent_basic,photoshop_consistent_basic_006,1,-0.3477870545503655,-1.0,0.3477870545503655
photoshop,consistent_basic,photoshop_consistent_basic_006,2,-0.46658901348515824,-1.0,0.46658901348515824
photoshop,consistent_basic,photoshop_consistent_basic_006,3,0.0,-1.0,-0.0
photoshop,consistent_basic,photoshop_consistent_basic_006,4,0.15793036255878845,-1.0,-0.15793036255878845
photoshop,consistent_basic,photoshop_consistent_basic_006,5,-0.2555888427189681,-1.0,0.2555888427189681
photoshop,consistent_basic,photoshop_consistent_basic_006,6,-0.06745889545342143,-1.0,0.06745889545342143
photoshop,consistent_basic,photoshop_consistent_basic_007,1,0.22867551575712053,-1.0,-0.22867551575712053
photoshop,consistent_basic,photoshop_consistent_basic_007,2,-7.861189290030635,-1.0,7.861189290030635
photoshop,consistent_basic,photoshop_consistent_basic_007,3,0.0,-1.0,-0.0
photoshop,consistent_basic,photoshop_consistent_basic_007,4,0.0,-1.0,-0.0
photoshop,consistent_basic,photoshop_consistent_basic_007,5,-1.3321456066669235,-1.0,1.3321456066669235
photoshop,consistent_basic,photoshop_consistent_basic_007,6,0.0,-1.0,-0.0
photoshop,consistent_basic,photoshop_consistent_basic_008,1,-2.505898136866711,-1.0,2.505898136866711
photoshop,consistent_basic,photoshop_consistent_basic_008,2,1.283611834398831,-1.0,-1.283611834398831
photoshop,consistent_basic,photoshop_consistent_basic_008,3,0.0,-1.0,-0.0
photoshop,consistent_basic,photoshop_consistent_basic_008,4,0.0,-1.0,-0.0
photoshop,consistent_basic,photoshop_consistent_basic_008,5,0.0,-1.0,-0.0
photoshop,consistent_basic,photoshop_consistent_basic_008,6,0.8792986155304139,-1.0,-0.8792986155304139
photoshop,consistent_basic,photoshop_consistent_basic_009,1,-2.019228765713059,-1.0,2.019228765713059
photoshop,consistent_basic,photoshop_consistent_basic_009,2,-0.11868008423526166,-1.0,0.11868008423526166
photoshop,consistent_basic,photoshop_consistent_basic_009,3,1.7602672246666113,-1.0,-1.7602672246666113
photoshop,consistent_basic,photoshop_consistent_basic_009,4,-1.0259258163680673,-1.0,1.0259258163680673
photoshop,consistent_basic,photoshop_consistent_basic_009,5,-0.015569542667403569,-1.0,0.015569542667403569
photoshop,consistent_basic,photoshop_consistent_basic_009,6,-0.1650471794563177,-1.0,0.1650471794563177
photoshop,consistent_basic,photoshop_consistent_basic_010,1,-4.799206508226046,-1.0,4.799206508226046
